sector,num_bedrooms,num_bathrooms,num_balconies,age_group,super_built_up_area,built_up_area,carpet_area,floor_number,servant_room,pooja_room,store_room,furnished,Centrally Air Conditioned,False Ceiling Lighting,Intercom Facility,Private Garden / Terrace,Separate entry for servant room,Spacious Interiors
sector 63,3,3.0,2.0,Under Construction,1778.1866666666667,1540.0,1366.011821358973,1.0,0,0,0,0,0,0,1,0,0,0
sector 88,3,3.0,3.0,New Flat,1629.0,1627.103711790393,1628.0,5.0,0,0,0,0,0,0,1,0,0,0
sector 65,3,3.0,3.0,Under Construction,1828.0,1596.5065502183406,1410.1940000676202,43.0,0,0,0,0,1,0,1,0,0,1
sector 79,3,3.0,3.0,Moderately New Flat,2533.05,2203.0103711790393,1950.0,1.0,0,0,0,1,1,0,1,1,0,1
sector 61,2,2.0,2.0,Under Construction,1558.8,1355.698689956332,1200.0,1.0,0,0,0,0,0,0,0,0,0,0
sohna road,1,1.0,2.0,New Flat,420.876,366.03864628820975,324.0,1.0,0,0,0,0,0,0,1,0,0,0
sector 77,3,4.0,4.0,New Flat,2000.0,1600.0,1500.0,11.0,1,0,0,1,0,0,0,0,1,1
sector 33,3,3.0,4.0,Under Construction,2505.771,2179.2856441048034,1929.0,14.0,1,0,0,0,0,0,0,0,1,0
sector 79,2,2.0,3.0,New Flat,957.9870999999999,836.6699563318778,739.0304488852186,9.0,0,0,0,0,0,0,0,0,0,0
sector 95,2,2.0,1.0,Moderately New Flat,700.0,555.0443558951965,443.31999999999994,8.0,0,0,0,1,0,0,1,0,0,0
sector 109,1,1.0,2.0,Moderately New Flat,965.0126666666669,965.0,628.0000000000001,9.0,0,0,0,0,0,0,0,0,0,0
sector 99,2,2.0,2.0,New Flat,524.0,467.77096069869003,424.79999999999995,2.0,0,0,0,0,0,0,0,0,0,0
sector 86,2,2.0,1.0,Under Construction,755.2515900000001,656.8473127729258,581.41,4.0,0,0,0,0,0,0,1,0,0,0
sector 78,1,2.0,2.0,Under Construction,655.9950000000001,570.5231986899564,505.0,32.0,0,0,0,0,0,0,0,0,0,0
sector 65,2,2.0,2.0,Under Construction,1310.0,1144.10480349345,1010.5876039871896,43.0,0,0,0,0,0,1,1,0,0,0
sector 95,2,2.0,2.0,New Flat,1503.5896666666667,1348.04557860262,1127.5,2.0,0,0,0,0,0,0,0,0,0,0
sector 4,2,2.0,1.0,Moderately New Flat,974.2500000000001,847.3116812227074,750.0,3.0,0,0,0,1,0,1,0,0,0,0
sector 33,3,2.0,4.0,Under Construction,2022.5430000000001,1759.0190502183407,1557.0,8.0,0,0,0,0,0,0,1,0,0,0
dwarka expressway,3,3.0,2.0,Under Construction,1440.0,1257.64192139738,1110.8749234668344,3.0,0,0,0,0,0,0,0,0,0,0
sector 113,4,4.0,4.0,Under Construction,3373.503,2933.9579148471616,2597.0,20.0,1,1,0,1,0,0,1,0,0,0
sector 103,3,3.0,4.0,New Flat,1940.0,1441.1615720524019,1056.0,2.0,0,1,0,0,1,0,1,0,0,0
sector 63,3,2.0,2.0,Under Construction,736.5330000000001,640.5676310043668,567.0,-2.0,0,0,0,0,0,0,0,0,0,0
sohna road,2,2.0,1.0,New Flat,623.0,608.9899017467249,599.0,4.0,0,0,0,0,0,0,1,0,0,0
sohna road,2,2.0,1.0,New Flat,817.0710000000001,710.6120633187774,629.0,0.0,0,0,0,0,0,0,0,0,0,0
sector 89,3,3.0,3.0,Under Construction,1423.0,1242.7947598253277,1097.760427842573,3.0,0,0,0,0,0,0,0,0,0,0
sector 77,3,3.0,3.0,Moderately New Flat,1450.0,1295.2502729257642,1177.0,4.0,0,0,0,1,0,0,0,0,0,1
dwarka expressway,3,3.0,2.0,Under Construction,1400.0,1222.707423580786,1080.0172867038668,3.0,0,0,0,0,0,0,0,0,0,0
sector 99,3,3.0,3.0,Under Construction,2000.0,1746.7248908296945,1542.8818381483811,6.0,0,0,0,0,0,0,0,0,0,0
sector 113,2,2.0,2.0,New Flat,1657.5240000000001,1441.5596069868998,1276.0,13.0,0,0,0,0,0,0,0,0,0,0
sector 113,2,2.0,2.0,New Flat,1276.0,1114.410480349345,984.3586127386673,13.0,0,0,0,0,0,0,1,0,0,0
sector 104,2,2.0,0.0,Moderately New Flat,1453.7253333333333,1259.0,1116.7590149941216,16.0,0,0,0,0,0,0,0,0,0,0
sector 52,4,4.0,3.0,Old Flat,1640.0,1432.3144104803494,1265.1631072816726,3.0,0,0,0,0,0,0,1,0,0,0
sector 67,1,1.0,0.0,Moderately New Flat,704.3466666666666,610.0,541.0826045642686,0.0,0,0,0,0,0,0,0,0,0,0
sector 86,3,2.0,1.0,New Flat,1690.0,1475.9825327510919,1303.735153235382,11.0,0,0,0,0,0,0,1,0,0,0
sohna road,2,2.0,1.0,Moderately New Flat,625.78026,544.2452390829694,481.74,2.0,0,0,0,0,0,0,0,0,0,0
sohna road,2,2.0,1.0,New Flat,689.769,599.8966703056769,531.0,12.0,0,0,0,1,0,0,0,0,0,0
sector 43,3,3.0,2.0,New Flat,1935.0,1689.9563318777293,1492.7381784085587,2.0,0,0,0,0,0,0,0,0,0,0
sector 78,3,3.0,2.0,Moderately Old Flat,1950.0,1900.0,1854.0,1.0,1,1,0,0,0,0,1,0,0,0
sector 92,2,2.0,1.0,Moderately New Flat,767.7090000000001,667.6816048034934,590.9999999999999,4.0,0,1,0,1,0,0,1,0,0,0
sector 107,2,2.0,1.0,Moderately New Flat,546.0,476.8558951965065,421.2067418145082,11.0,0,0,0,0,0,0,0,0,0,0
sector 79,2,2.0,3.0,Moderately New Flat,1530.0,1450.0,1400.0,5.0,0,0,0,0,0,0,1,0,0,0
sector 89,3,3.0,4.0,New Flat,2481.09,2157.8204148471614,1910.0,1.0,1,0,0,0,0,0,0,0,0,0
sector 33,3,3.0,3.0,Under Construction,1789.0,1562.4454148471616,1380.1078042237268,12.0,0,0,0,0,0,0,0,0,0,0
sector 92,4,3.0,0.0,Under Construction,2355.52,2040.0,1809.5221529690293,16.0,0,0,0,0,0,0,1,0,0,0
sector 82,4,4.0,3.0,Under Construction,4350.0,3857.063318777293,3480.0,6.0,1,0,1,1,0,0,1,0,0,0
sector 12,3,4.0,2.0,Old Flat,2500.0,2000.0,1750.0,2.0,1,0,0,1,0,0,0,0,0,0
sector 89,3,3.0,3.0,Under Construction,1244.442,1082.2994541484718,958.0,3.0,0,1,1,0,0,0,1,1,0,1
sohna road,2,2.0,3.0,New Flat,1591.275,1383.9424126637555,1225.0,11.0,0,0,0,0,0,0,1,0,0,0
sohna road,3,3.0,4.0,Moderately New Flat,1751.0,1490.2538209606987,1290.0,10.0,0,0,0,0,0,0,1,0,0,0
sector 104,3,3.0,3.0,Under Construction,1689.0,1475.109170305677,1302.963712316308,2.0,0,0,0,0,0,0,1,0,0,0
sector 3,2,2.0,1.0,Moderately New Flat,909.3000000000002,790.8242358078604,700.0,4.0,0,0,0,1,0,1,0,0,0,0
sector 65,3,3.0,3.0,Under Construction,1828.0,1596.5065502183406,1410.1940000676202,19.0,0,0,0,0,0,0,0,0,0,0
sector 33,2,2.0,1.0,Moderately Old Flat,810.0,707.4235807860263,624.8671444500943,1.0,0,0,0,0,0,0,0,0,0,0
sector 2,3,2.0,3.0,Under Construction,1532.8200000000002,1440.0,1080.0,8.0,0,0,0,0,0,0,0,0,0,0
sector 37,3,3.0,2.0,Under Construction,1000.0,873.3624454148472,771.4409190741906,18.0,0,0,0,0,0,0,0,0,0,0
sector 108,2,2.0,1.0,Moderately Old Flat,1594.4503333333332,1468.0,1150.0,10.0,0,0,0,0,0,0,0,0,0,0
sector 37,4,3.0,3.0,Under Construction,2191.0,1650.0,1350.0,7.0,0,0,0,0,0,0,0,0,0,0
sector 90,2,2.0,1.0,New Flat,813.174,707.2228165938865,626.0,2.0,0,0,0,1,0,0,0,0,0,0
sector 79,3,2.0,3.0,Moderately New Flat,1620.2138333333332,1570.0,1099.0,10.0,0,0,0,0,0,0,0,0,0,0
sector 9,3,2.0,3.0,Old Flat,2338.2,2033.5480349344978,1800.0,5.0,0,0,0,0,0,0,0,0,0,1
sector 86,2,2.0,1.0,Moderately New Flat,675.48,587.4694323144104,519.9999999999999,10.0,0,0,0,0,0,0,0,0,0,0
sector 65,3,3.0,3.0,Under Construction,1828.0,1596.5065502183406,1410.1940000676202,20.0,0,0,0,0,0,0,1,0,0,0
sector 33,3,2.0,4.0,Under Construction,1226.256,1062.0,942.0159443397594,20.0,0,0,0,0,0,0,1,1,0,1
sector 61,3,3.0,2.0,Under Construction,2117.37,1841.4907205240174,1630.0,3.0,0,0,0,0,0,0,0,0,0,0
sohna road,2,2.0,2.0,Moderately New Flat,1275.0,1091.7060589519651,951.0,13.0,0,0,0,1,0,0,1,0,0,1
sector 95,2,2.0,2.0,New Flat,667.6859999999999,580.6909388646288,514.0,3.0,0,0,0,1,0,0,1,0,0,0
sector 77,3,3.0,4.0,New Flat,1735.0,1432.07942139738,1199.0,7.0,0,0,1,1,0,0,0,0,0,0
sector 67,4,4.0,0.0,Moderately New Flat,2987.7,2598.422489082969,2300.0,4.0,0,0,0,0,0,0,0,0,0,0
sector 95,1,1.0,1.0,New Flat,380.0,331.87772925764193,293.1475492481925,4.0,0,0,0,0,0,0,0,0,0,0
sector 89,2,2.0,3.0,Under Construction,1435.395,1248.3725436681223,1105.0,2.0,0,0,0,0,0,0,1,0,0,0
sector 99,2,2.0,2.0,New Flat,1365.0,1192.1397379912664,1053.01685453627,2.0,0,0,0,1,0,0,1,0,0,0
sector 29,3,3.0,3.0,Moderately Old Flat,1313.0,1146.7248908296945,1012.9019267444122,4.0,0,0,0,0,0,0,0,0,0,0
sector 99,2,2.0,2.0,Under Construction,1252.0,1093.4497816593887,965.8440306808866,3.0,0,0,0,0,0,0,1,0,0,0
sector 82,2,2.0,2.0,Moderately New Flat,999.5083333333334,1000.0,650.0,1.0,0,0,0,0,0,0,0,0,0,0
sector 2,4,4.0,4.0,New Flat,5845.5,5083.870087336245,4499.999999999999,2.0,0,0,0,0,0,1,0,0,0,1
sector 88,3,3.0,4.0,New Flat,1850.0,1615.7205240174674,1427.1657002872525,11.0,0,0,0,0,0,0,0,0,0,0
sector 91,4,4.0,4.0,Moderately Old Flat,2364.0,2064.6288209606987,1823.6863326913863,11.0,1,0,0,0,1,0,0,0,1,0
sector 91,4,4.0,4.0,Moderately Old Flat,2727.0,2381.6593886462883,2103.7193863153175,16.0,1,1,0,0,0,0,1,0,0,0
sector 1,4,4.0,3.0,New Flat,3637.2000000000003,3163.296943231441,2800.0,8.0,1,0,0,0,0,0,0,0,0,0
sector 68,2,2.0,2.0,New Flat,1532.82,1333.103711790393,1180.0,1.0,0,0,0,0,0,0,1,0,0,0
sector 70,3,3.0,3.0,Under Construction,1865.0,1628.82096069869,1438.7373140733653,18.0,0,0,0,0,0,0,1,0,0,0
